datetime,severity,event_type,message,details
2026-04-26T11:23:01.378595,ERROR,CYCLE_FAILED,Trading cycle exception,error=CCXTBroker.get_balance() takes 1 positional argument but 2 were given
2026-04-26T11:24:01.445900,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:24:01.466848,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:24:01.486195,ERROR,CYCLE_FAILED,Trading cycle exception,error=CCXTBroker.get_balance() takes 1 positional argument but 2 were given
2026-04-26T11:26:01.579301,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:26:01.598675,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:26:12.387856,ERROR,CYCLE_FAILED,Trading cycle exception,error='date'
2026-04-26T11:27:01.475889,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:27:01.496099,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:27:04.990038,ERROR,CYCLE_FAILED,Trading cycle exception,error='date'
2026-04-26T11:28:01.075127,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:28:01.092417,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:28:04.594982,ERROR,CYCLE_FAILED,Trading cycle exception,error='date'
2026-04-26T11:29:01.675996,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:29:01.696489,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:29:05.195730,ERROR,CYCLE_FAILED,Trading cycle exception,error='date'
2026-04-26T11:30:01.274387,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:30:01.295062,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:30:04.795503,ERROR,CYCLE_FAILED,Trading cycle exception,error='date'
2026-04-26T11:32:01.886837,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
